connector_id,node_id,type,x,y,z,roi,confidence
234,1137,post,3429,20739,16031,LH(R),0.850618
235,4240,post,4563,21860,16216,LH(R),0.994139
236,1207,post,5331,22741,14671,LH(R),0.822085
237,2404,post,5451,22170,15839,LH(R),0.977547
238,1133,post,3840,21059,16140,LH(R),0.993295
239,1462,post,4950,23610,15101,LH(R),0.984
240,1462,post,4953,23551,15101,LH(R),0.93431
241,1596,post,5582,22483,16685,LH(R),0.759988
242,1596,post,5588,22473,16692,LH(R),0.858
243,1461,post,4962,23537,15105,LH(R),0.911
244,3667,post,4581,21870,16090,LH(R),0.999843
245,4328,post,5082,21574,15776,LH(R),0.93529
246,1980,post,4778,22810,14723,LH(R),0.953338
247,2405,post,5592,22106,15842,LH(R),0.72666
248,4243,post,5125,21482,15757,LH(R),0.71076
249,2601,pre,4997,21693,16989,LH(R),0.939
250,2408,pre,5749,21912,15877,LH(R),0.985
251,2601,pre,5054,21719,17057,LH(R),0.966
252,2601,pre,4954,21633,16959,LH(R),0.898
253,2601,pre,4935,21596,16994,LH(R),0.997
254,2601,pre,4927,21628,17025,LH(R),0.974
255,2599,pre,4812,21558,16803,LH(R),0.991
256,3029,pre,5313,21644,15693,LH(R),0.963
257,3029,pre,5376,21708,15644,LH(R),0.968
258,3671,pre,3898,22385,15148,LH(R),0.994
259,11,pre,4539,22470,15609,LH(R),0.996
260,4250,pre,4492,22433,15598,LH(R),0.845
261,1186,pre,4792,21827,15695,LH(R),0.983
262,4035,pre,4813,23405,15444,LH(R),0.971
263,1972,pre,5097,23061,15134,LH(R),0.838
264,1978,post,4872,22875,14838,LH(R),0.735317
265,72,post,10304,17752,12338,,0.339814
266,3672,post,3935,22450,15103,LH(R),0.651896
267,1136,post,3540,20773,16074,LH(R),0.732212
268,69,post,9794,17911,12533,SCL(R),0.977781
269,1120,post,4630,21777,16348,LH(R),0.839797
270,1110,post,4829,21958,15732,LH(R),0.996
271,3671,post,3908,22327,15104,LH(R),0.975198
272,4028,post,4913,23379,14855,LH(R),0.788928
273,10,post,4497,22495,15515,LH(R),0.906214
274,9,post,4429,22424,15496,LH(R),0.96087
275,14,post,5034,22780,15635,LH(R),0.833
276,3665,post,5942,20358,14221,LH(R),0.905456
